0.347|0.0|0.152|1.0|235.21333|1.0|0.956|224.25252|22050|123.022|0|0.899|0|1|4|5186454|-5.974
0.437|0.23152|0.485|1.0|256.62667|1.0|0.85|256.62668|22050|101.088|0|0.38|6|1|4|5658618|-6.842
0.358|0.0|0.434|1.0|461.84|1.0|0.988|419.29433|22050|123.968|0|0.397|8|0|4|10183572|-6.062
0.452|0.13959|0.397|1.0|222.2|1.0|0.982|219.03383|22050|127.016|0|0.934|0|1|4|4899510|-2.581
0.349|0.40095|0.144|1.0|379.26667|1.0|1.0|370.7356|22050|118.523|0|0.824|5|1|4|8362830|-8.201
0.538|0.2317|0.257|1.0|242.68|1.0|0.793|239.55447|22050|159.918|0|0.099|11|0|4|5351094|-6.692
0.407|0.06349|0.351|1.0|193.0|1.0|1.0|187.5766|22050|119.955|0|0.87|4|1|4|4255650|-4.422
0.589|3.66875|0.35|1.0|266.2|1.0|1.0|253.678|22050|126.879|0|0.87|3|1|4|5869710|-9.896
0.596|5.43927|0.662|1.0|280.02667|1.0|1.0|262.11265|22050|123.007|0|0.84|9|1|4|6174588|-7.928
0.643|0.0|0.538|1.0|191.72|1.0|0.495|181.45814|22050|94.855|0|0.042|2|1|4|4227426|-17.123
0.495|0.28426|0.36|1.0|193.10667|1.0|1.0|185.96862|22050|144.085|0|0.828|0|1|4|4258002|-5.373
0.455|2.87347|0.366|1.0|176.37333|1.0|0.958|164.14766|22050|102.062|0|0.41|8|1|4|3889032|-21.349
0.668|0.66748|0.532|1.0|183.66667|1.0|1.0|176.97669|22050|109.933|0|0.81|2|1|4|4049850|-7.382
0.374|0.14984|0.346|1.0|366.37333|1.0|0.988|357.57569|22050|130.167|0|0.834|5|0|4|8078532|-11.43
0.399|0.25528|0.422|1.0|192.28|1.0|1.0|186.57234|22050|173.033|0|0.208|1|1|4|4239774|-6.684
0.291|0.15066|0.093|1.0|197.17333|1.0|0.994|183.87302|22050|103.934|0|0.478|2|1|4|4347672|-13.231
0.745|0.0|0.661|1.0|174.03224|1.0|1.0|165.79628|22050|124.015|0|0.384|0|0|4|3837411|-13.983
0.266|0.0|0.026|1.0|485.4|1.0|1.0|470.6917|22050|123.215|0|0.499|6|0|4|10703070|-11.291
0.616|0.0|0.333|1.0|196.69333|1.0|1.0|191.22213|22050|190.05|0|0.096|7|1|4|4337088|-5.738
0.684|0.27039|0.596|1.0|178.01333|1.0|1.0|167.4449|22050|102.636|0|0.682|2|1|4|3925194|-10.139
0.756|1.09782|1.0|1.0|219.48|1.0|1.0|207.26132|22050|131.928|0|0.976|4|1|4|4839534|-9.032
0.299|0.14522|0.254|1.0|240.86667|1.0|1.0|231.13143|22050|102.418|0|0.576|6|1|4|5311110|-7.732
0.628|3.89515|0.668|1.0|250.22694|1.0|0.997|243.72245|22050|98.02|0|0.044|8|0|4|5517504|-12.948
0.802|0.4298|0.699|1.0|244.6|1.0|0.913|233.83655|22050|120.507|0|0.712|7|1|4|5393430|-7.459
0.144|0.09964|0.0|1.0|278.62667|1.0|1.0|272.8751|22050|120.237|0|0.827|5|0|4|6143718|-7.463
0.44|0.0|0.174|1.0|278.50667|1.0|1.0|275.85887|22050|93.718|0|0.334|10|0|4|6141072|-3.766
0.676|0.0|0.72|1.0|275.22667|1.0|0.931|268.09179|22050|89.094|0|0.061|11|0|4|6068748|-3.979
0.681|0.35429|0.762|1.0|193.29333|1.0|0.575|190.68807|22050|115.971|0|0.872|7|1|4|4262118|-3.37
